,artist,song,link,text
31136,Elton John,Blues Never Fade Away,/e/elton+john/blues+never+fade+away_20538325.html,He wasn't famous but I sure did love him   I've got his picture in a little frame   He lost his life to a big disease before it even had a name   But there's so many more and I've lost count   The how's and whys aren't important now   All that matters is they came around   And brightened up our lives      She was twenty one with her life ahead   You don't need to know her name   She breathed her last on the cold stone floor of a Hollywood arcade   But fate's right hand isn't always just   Puts a lot of pressure on your faith and trust   She was just a little girl ain't that enough   To rage against the day      [Chorus:]   And how did we get so lucky?   Targets on the rifle range   Who makes the call and who gets to choose?   Who gets to win and who gets to lose?   It's like a rolling dice in the belly of the blues   And blues never fade away   Hey hey hey the colors run when the rain falls   But blues never fade away      He shone so bright with a lust for life   Like the Sun King that he was   His passions hung upon his walls and were printed onto cloth   And for reasons I never understood   About the choices made between the bad and good   I've tried to figure out but   The pain never goes away      [Chorus]      And there's marble markers and little white crosses   Along the beaten path   And I've spread their ashes on the wind   And I miss John Lennon's laugh      [Chorus]      And how did we get so lucky?   Targets on the rifle range   Who makes the call and who gets to choose?   Who gets to win and who gets to lose?      It's like a rolling dice in the belly of the blues   And blues never fade away   Hey hey hey all the colors run when the rain falls   And blues never fade away  
33444,Genesis,Invisible Touch,/g/genesis/invisible+touch_20058871.html,"Well I've been waiting, waiting here so long   But thinking nothing, nothing could go wrong, but now I know   She has a built in ability   To take everything she sees   And now it seems I'm falling, falling for her.      She seems to have an invisible touch yeah   She reaches in, grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.      I don't really know her, I only know her name   But she crawls under your skin, you're never quite the same, and now I know   She's got something you just can't trust   It's something mysterious   And now it seems I'm falling, falling for her.      She seems to have an invisible touch yeah   She reaches in, grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.      She don't like losing, to her it's still a game   Though she'll mess up your life, you'll want her just the same, now I know   She has a built in ability   To take everything she sees   And now it seems I've fallen, fallen for her.      She seems to have an invisible touch yeah   She reaches in, grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.    "
35372,Hanson,Deeper,/h/hanson/deeper_10140570.html,"She moves with a tender kiss   And I can't stop feelin'   She soothes with a tenderness   And I can't stop' feelin'   Well, I don't even know her name   But I can't stop feelin'   She says that she feels the same   And I can't stop feelin'   And if you let me try tonight   You just might see that I'm      Fallin' deeper and deeper and deeper in love   And I'm feelin' more and more and more and more alone   Ah yeah      She turns chaos into art   And I can't stop feelin'   A touch and I fall apart   And I can't stop feelin'   It's soundin' like an old cliche   And I can't stop feelin'   I love her in a thousand ways   And I can't stop feelin'   And if you let me try tonight   You just might see that I'm      Fallin' deeper and deeper and deeper in love   And I'm feelin' more and more and more and more alone   Ah yeah      Well, every simple notion is poetry in motion   Can't you see it's pushin' me over the edge?   This wreckin' ball you're holdin' has crushed the heart you've stolen   I'll give you my devotion all over again   And if you let me try tonight   You just might see that I'm      That I'm fallin' deeper and deeper and deeper in love   And I'm feelin' more and more and more and more alone   Yeah      And I'm fallin' deeper and deeper and deeper in love   And I'm feelin' more and more and more and more alone      And I'm fallin' deeper and deeper and deeper in love   And I'm feelin' more and more and more and more alone   Ah yeah  "
38338,John Prine,Taking A Walk,/j/john+prine/taking+a+walk_20492516.html,"A man came to our house   I believe it was yesterday   I would have invited him in   But I didn't have a lot to say   His anticipation of me opening the door   Outweighed my apprehension as it never had before   And drove my concentration   Right through that hardwood floor   Oh, uh-huh      [Chorus]   I'm taking a walk   I'm going outside   I'm taking a walk   I'm just gettin' back      There's a girl in the white house   I don't even know her name   Her disheveled appearance   Speaks volumes of shame   It's an embarrassing situation   But a situation just the same   The way she walks on others   And never takes the blame   Upsets my constitution   Beyond its motor frame   Oh, uh-huh      [Chorus]      Found a carton departed   Of my worn out overalls   From a girl in Cedar Rapids   Now residing in Idaho Falls   I wish you could've been there   When she opened up the door   And looked me in the face   Like she never did before   I felt about as welcome   As a Wal-Mart superstore   Oh, uh-huh      I'm taking walk (Taking a walk)   I'm going outside (Going outside)   I'm taking a walk (Taking a walk)   I don't need a ride (Just getting by)   I'm watching the birds (Taking a walk)   Flying so high (Going outside....)  "
39573,Keith Urban,Got It Bad,/k/keith+urban/got+it+bad_20210022.html,"I hit the highway and I checked the time   I see the sunrise and it makes me want to change my mind   Oh I got it bad   I stopped for a coffee in a nowhere town   A pretty waitress says ""Hey what's the frown   Boy you got it bad""   Well so many times you told me before   If you don't like it, well there's the door   This time I've gone for good and I got it bad      I got it badder than a broken heart   Badder then the devil's smile   And I can't face bein' apart   I guess I'll have to leave but meanwhile   Oh I got it bad      Moonlight on the water still looks the same   Pretty girl beside me but I don't know her name   Guess I got it bad   I'm too weak to say no, too lonely to care   I'll believe her if she says hey baby   I got to love to spare   Well tomorrow I'll take it like a man   Tonight I'm taking all I can   This time I went for good and I got it bad      I got it badder than a broken heart   Badder then the devil's smile   And I can't face bein' apart   I guess I'll have to leave but meanwhile   Oh I got it bad      I got it badder than a broken heart   Badder then the devil's smile   And I can't face bein' apart   I guess I'll have to leave but meanwhile   Oh I got it bad      I got it badder than a broken heart   Badder then the devil's smile   And I can't face bein' apart   I guess I'll have to leave but meanwhile   Oh I got it bad  "
47456,Patsy Cline,When I Get Thru With,/p/patsy+cline/when+i+get+thru+with_20702697.html,"You think you love Sue   But when I get thru with you   You won't ever look at Sue again...      I'm gonna be so good to you   I'm gonna love you my whole life thru   Pretty soon you'll feel the same   You won't even know her name   I'll give ya kisses that she can't beat   I'll treat you so nice and sweet   When I get thru with you   You'll love me too, not Sue   When I get thru with you   You'll love me too      I'm gonna treat you sweet and kind   I'll drive her right outta your mind   And you won't know her if you meet   Walk right by her on the street   Because I want you and need you so   Poor Susie will have to go   When I get thru with you   You'll love me too, not Sue   When I get thru with you   You'll love me too      I'm gonna be so good to you   I'll love you my whole life thru   Pretty soon you'll feel the same   You won't even know her name   I'll give you kisses that she can't beat   I'll treat you so nice and sweet   When I get thru with you   You'll love me too, not Sue   When I get thru with you   You'll love me too, not Sue   When I get thru with you   You'll love me too, not Sue...  "
48846,Poison,Baby Gets Around,/p/poison/baby+gets+around_20109892.html,"I can't say I ain't been around   That I ain't done my time   Seems like this big old world   Has been one big shoe to shine      But I never ever took a dime   For what comes naturally   And if I never knew the truth   Well she'd be fine with me      One night she stayed over here   And left her little black book behind   Well that little black book ain't little no more   And it wasn't too hard too find      Chorus:   She'd leave me in this lonely room   The thought just made me sick   It's funny how the pieces fit   My baby gets around a bit   Yeah, my baby gets around a bit      Her pager would ring, it's a funny thing   She'd have to go right away   She always had a wad of cash   Much more than her job could pay      I'd ask her where she's going to   And this is what she'd say   ""i gotta meet someone for an interview   He's only in town today""      Always a little bit overdressed   Much more than I thought he'd be   High heel shoes and day glow dress   Ain't seem strange to me      She'd leave me in this lonely room   While some stud got his sex   Just then the thought occurred to me   My baby gets around a bit   My baby gets around a bit   Oooh, my baby gets around a bit...      Solo      Took her to the local bar   Where I like to hang   Every guy that passed her by   They all seemed to know her name      They all called her by a different name   And one of them winked at me   Some guy named stan said ""you're the man   I heard you get it for free""      She'd leave me in this lonely room   And the thought hit me like a brick   It's funny how the pieces fit   My baby gets around a bit   Ooooh, my baby gets around a bit   Ooooh, my baby gets around a bit   My baby gets around a bit      My baby gets around....   My baby..  "
48880,Poison,Shooting Star,/p/poison/shooting+star_20220926.html,"A small town girl with big time dreams   But nothing's ever as it seems   A mother waves her girl goodbye   Then slowly hangs her head and cries   Hollywood hills and the big city lights   Outside her window they burn bright   Someday the world will praise her fame   They'll know her face they'll shout her name      They'll shout it real loud   She'll make her mama real proud   She'll stand above the crowd      I am someone   Look what I've done   Stare into the sun   I am a shooting star   I am something   I am someone   Look what I've done   I am a shooting star      She looks down at the stars, lying on the streets   Says to herself ""that will be me""   A big time dream, a small town mind   Searching for a break, she may never find   Streets of gold, they turned to grey   Just one more chance, just one more day   Someday that world will know this face   She swears they'll never fall from grace      They'll shout it real loud   She'll make her mama real proud   She'll stand above the crowd   And shout      She stands out on the streets in the pouring rain   Strangers walk by they don't know her name   As the silver screen slowly fades to black   She'll never give in, she can never go back      Someday you'll see me   Don't you need me   Everybody will believe me   I am a shooting star      I will stand strong   I will hold on   It's not my last song   I am a shooting star  "
49738,R. Kelly,I love the DJ,/r/r+kelly/i+love+the+dj_20861643.html,"This might sound strange, this might sound strange to you, to you   I found someone that might just changed my life, yeah   I know, cause she's always on my mind, every night      I don't even know her Name   I've never seen you up here before   I love what she do   I'm so into you   Cause I love the D-J   I love the D-J, she's so sexy   I love the D-J   I love the D-J, wow wow      It turns me on when you spinning those records for me   I wanna come right up there and grab hold of your body   When ever you here, I know that you gonna play my favorite song tonight   I can feel you working on my mind, you are so fine      I don't even know her Name   I've never seen you up here before   I love what she do   I'm so into you   Cause I love the D-J   I love the D-J, she's so sexy   I love the D-J   I love the D-J, wow wow      Now you gonna slow down, slow it down, slow it down   For all the lovers in the building yeah   Slow it down, slow it down   Girl we will be in the club forever      Cause I love the D-J   I love the D-J, she's so sexy   I love the D-J   I love the D-J wow wow  "
51912,Spandau Ballet,Highly Strung,/s/spandau+ballet/highly+strung_20128478.html,"This is the song of little Jo   She's not the girl I used to know   Forever screaming all the day and night   She used to be a diplomat   But now she's down the laundromat   They washed her mind and now she finds it hard   I know her name   But now she never seems the same   She don't talk to me   'Cause she can't take no sympathy   Because she's highly strung   Oh, highly strung, she's undone   Highly strung   Oh, highly strung, she's undone   She's stepping out upon the ledge   She's got a gun against her head   She's wired up to blow the power line   She's walking out upon the knife   She'll take you to the edge of life   Just like the song, the pressure is on again   I know her name   Ho, but now she never seems the same   She don't talk to me   'Cause she can't take no sympathy   Because she's highly strung   Oh, highly strung, she's undone   Highly strung   Oh, highly strung, she's undone   No, no, no   I know her name   Ho, but now she never seems the same   She don't talk to me   'Cause she can't take no sympathy   Because she's highly strung   Oh, highly strung, she's undone   Highly strung   Oh, highly strung, she's undone   Highly strung   Oh, highly strung, she's undone   Highly strung   Oh, highly strung, she's undone   This is the song of little Jo   She's not the girl I used to know    "
