,artist,song,link,text
21394,Whitesnake,Give Me All Your Love,/w/whitesnake/give+me+all+your+love_20146345.html,"When I first saw you baby   You took my breath away,   I knew your name was Trouble   But, my heart got in the way   I couldn't stop myself from reaching out,   I could not turn away      I don't even know your name   An' I can't leave you alone,   I'm running round in circles   Like a dog without a bone   I know the game you're playing   But, baby I just can't let go      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want   Just give me all of your loving tonight      I'll work hard everyday   To love and treat you right.   I'll rock you in the morning   And roll you in the night.   Any way you want   I'm gonna prove my love for you.      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want,   Just give me all of your loving tonight, tonight, tonight      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want,   Just give me all of your loving tonight      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want,   Just give me all of your loving tonight      I am blinded by your smile   And I'm crazy about your walk   I shiver and I shake   When I hear you baby talk   I'm a fool for your loving babe,   Give me all your loving tonight      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want,   Just give me all of your loving tonight      Anything you want from me      So give me all your love tonight,   Give me all your love tonight   I'll do anything you want,   Just give me all of your loving tonight, tonight, tonight  "
22494,Zeromancer,Cupola,/z/zeromancer/cupola_20174496.html,"Act sleazy   Behave like a tart   It's so easy   To get what you want      Yeah   You can't get enough      Hey baby   We all know your name   It's sex   That will lead you to fame      Don't don't don't give it up   Don't don't die of a broken heart      Your ego   Is never at fault   If you believe it   You'll get all you want      Yeah   You can't get enough      Don't don't die of a broken heart      I feel your pulse   Beating blue   And I feel your skin crawls   When we, we ,we, we   Fuck      Don't don't die of a broken heart  "
22495,Zeromancer,Die Of A Broken Heart,/z/zeromancer/die+of+a+broken+heart_20531207.html,"Act sleazy   Behave like a tart   It's so easy   To get what you want      Yeah   You can't get enough      Hey baby   We all know your name   It's sex   That will lead you to fame      Don't Don't Don't Give it up   Don't Don't Die of a broken heart      Your ego   Is never at fault   If you believe it   You'll get all you want      Yeah   You can't get enough      Don't Don't Die of a broken heart      I feel your pulse   Beating blue   And I feel your skin crawls   When we, we ,we, we   Fuck      Don't Don't Die of a broken heart  "
22612,Zoegirl,The Way You Love Me,/z/zoegirl/the+way+you+love+me_10198614.html,"I tried to find You but I didn't know Your name   I searched for love, but I found only pain   I chased the truth, but I only caught the lies   When I searched for beauty      Dirt got in my eyes   And then Your love showed up   And it erased my pain   Lord, You gave it all just to clear my name      Why You love me I cannot understand   How You love me, can't even comprehend   That You want me as broken as I am   I can never repay      The way You love me   The closer that I get to You the smaller this world seems   Deep inside my heart You placed eternity   You gave me room to breathe, a place to get away      Standing in Your presence with a debt I can't repay   There's no high, there's no low   There's no power or control   Nothing's gonna keep me from You      I love the way, the way You love me  "
22715,ZZ Top,Cheap Sunglasses,/z/zz+top/cheap+sunglasses_20149175.html,"When you get up in the morning and the light is hurt your head   The first thing you do when you get up out of bed   Is hit that streets a-runnin' and try to beat the masses   And go get yourself some cheap sunglasses   Oh yeah, oh yeah, oh yeah      Spied a little thing and I followed her all night   In a funky fine levis and her sweater's kind of tight   She had a west coast strut that was as sweet as molases   But what really knocked me out was her cheap sunglasses   Oh yeah, oh yeah, oh yeah      (solo)      Now go out and get yourself some big black frames   With the glass so dark thay won't even know your name   And the choice is up to you cause they come in two classes:   Rhinestone shades or cheap sunglasses   Oh yeah, oh yeah, oh yeah  "
24590,Barbra Streisand,Go To Sleep,/b/barbra+streisand/go+to+sleep_20013013.html,"Now that's what I call a man!What are you gonna do about Warren?   That's the first time in my life I felt like the opposite sex.   What are you gonna do about Warren? I wonder if he'll ask me   Tomorrow night. What are you gonna do about Warren? What am I      Gonna do about Warren? Oh, Warren doesn't care.Warren cares!   Warren cares, but I don't care! You have to care because you're   Engaged to him and you don't have to care about him because how   Will he know he cares about you? Then what are you gonna do?      What did you say?   When you know there's someone loving you   And you know there's someone you love too   And they're not the same, what do you do?      Go to sleep, girl! Go to sleep! Go to sleep!   Close your eyes and hide from every care   When you wake up they may not be there   But tell me how can I sleep      Tell me who could   When you see your whole life tangled up good   I could drink, I could weep   But tell me how can I sleep?      Go to sleep! Go to sleep!   And when you and someone have a date   (Which you made when you were thinking straight!)   And when you and someone stay out late   (It was bad too...)      Mmm...But I had to!   When they're not the same who gets the gate?   (This is not the way to find a mate!)   Go to sleep, girl! Go to sleep! Go to sleep!      ( Go to sleep, girl! Go to sleep! Go to sleep!)   Comes the dawn I may not feel the same   (Comes the dawn he may not know your name!)   In the sunlight who can see a flame?      But tell me how can I sleep, look what I've done   Mess around with two men   Soon you'll have none   As you sow, so you reap      Which is why I can't sleep, mmm...   Go to sleep, girl! Go to sleep! Go to sleep! Go to...  "
26385,Bread,I Don't Love You,/b/bread/i+dont+love+you_20023972.html,"I don't love you   I just want you   If I don't have you never be the same   I don't love you, but girl you'd drive a man   Insane   I don't love you   But I need you   I don't even want to know your name   Every single minute you know is causing me   Great pain   I don't come from 'cross the RR tracks   I don't need no little body hangin' off my back   If you got plans for me   You'd better start singin' the blues.    "
27291,Cher,Dead Ringer For Love,/c/cher/dead+ringer+for+love+feat+meat+loaf_20180924.html,"Meat Loaf feat. Cher - Dead Ringer For Love      Meatloaf: Every night I grab some money and I go down to the bar   I got my buddies and a beer, I got a dream, I need a car   You got me begging on my knees, c'mon and throw the dog a bone   A man he doesn't live by rock 'n roll and brew alone   Baby baby, baby baby      Rock 'n roll and brew, rock 'n roll and brew   They don't mean a thing when I compare 'em next to you   Rock 'n roll and brew, rock 'n roll and brew   I know that you and I we got better things to do   I don't know who you are or what you do, or where you go when you're not around   I don't know anything about you baby, but you're everything I'm dreaming of   I don't know who you are, but you're a real dead ringer for love   A real dead ringer for love      Cher: Ever since I can remember you been hanging 'round this joint   You been trying to look away but now you finally got the point   I don't have to know your name and I won't tell you what to do   But a girl she doesn't live by only rock 'n roll and brew   Baby baby, baby baby      Cher and Meatloaf: Rock 'n roll and brew, rock 'n roll and brew   They don't mean a thing when I compare 'em next to you   Rock 'n roll and brew, rock 'n roll and brew   I know that you and I we got better things to do   I don't know who you are or what you do, or where you go when you're not around   I don't know anything about you baby, but you're everything I'm dreaming of   I don't know who you are, but you're a real dead ringer for love   A real dead ringer for love      Meatloaf: Ooh you got the kind of legs that do more than walk   Cher: I don't have to listen to your whimpering talk   Meatloaf: Listen you got the kind of eyes that do more than see   Cher: You got a lotta nerve to come on to me   Meatloaf: You got the kind of lips that do more than drink   Cher: You got the kind of mind that does less than think   But since I'm feeling kinda lonely and my defenses are low   Why don't we give it a shot and get it ready to go   I'm looking for anonymous and fleeting satisfaction   I want to tell my daddy I'll be missing in action   Ever since I can remember I've been hanging 'round this joint   My daddy never noticed, now he'll finally get the point   Meatloaf: You got me beggin' on my knees, c'mon and throw the dog a bone   A man he doesn't live by rock 'n roll and brew alone   Baby baby, baby, baby      Cher and Meatloaf: Rock 'n roll and brew, rock 'n roll and brew   I know that you and I we got better things to do   Rock 'n roll and brew, rock 'n roll and brew   They don? T mean a thing when I compare? Em next to you   I don't know who you are or what you do, or where you go when you're not around   I don't know anything about you baby, but you're everything I'm dreaming of   I don't know who you are, but you're a real dead ringer for love   A real dead ringer for love      Dead ringer for love   Dead ringer  "
27544,Chris Brown,I'll Call Ya,/c/chris+brown/ill+call+ya_20659148.html,"Hey hey   I don't,   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya,   Body so sick gotta get next to ya   I've been waitin' all night long to know you're name   Everything about ya girl I want   And ya gotta know that   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya      Girl, maybe we need to spend sometime   Cause you got me gone   (I'm so gone)   And I won't wanna be a player once you're mine   Cause this is   More than before   This is real   I'm an 18 year old grown ass man tryin' to get in you're life      Let go!   I don't wanna hurt ya, I just wanna know ya   Read me your script later baby I'll call ya,   Body so sick gotta get next to ya   I've been waitin' all night long to know you're name   I don't wanna hurt ya,   I just wanna know ya   Read me your script later baby I'll call ya,   Body so sick gotta get next to ya   I've been waitin' all night long to know you're name   Everything about you girl I want   And you gotta know that   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya      Most don't get   All of that brain and the face is so flawless   She's such a beautiful girl   And every fantasy at night I dream about is all in you   If I try   Would you take me where you are   That place that many won't ever get a chance to see   You've been so cold   (been so cold)   Maybe, (baby)   If you let me   Your flame   (your flame)   Will be on again   Tell me what you want   (come tell me what you want)   'cause I won't sleep   I won't cheat   Love me   Its all that you give      [Chorus]   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya   Body so sick gotta get next to ya   I've been waitin all night long to know you're name   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya   Body so sick gotta get next to ya   I've been waitin' all night long to know you're name      I've been thinking bout the way   That I'm gonna take it down   Ain't no way that you would bein need   'Cause you'd be all I'm thinking bout   Ain't no way      [Chorus]      Know your name   To know your name   I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya      Tell me what I gotta do   I mean      I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya      I got the list right here   'Cause it's exclusive now      I don't wanna hurt ya   I just wanna know ya   Read me your script later baby I'll call ya      I'ma put you on it alright?   I'ma hit you up later      2 up 2 down I see you (haha)   Lets go   Yes sir (peace)   And now you know   I'm out   (Peace)  "
27693,Christina Aguilera,Enter The Circus,/c/christina+aguilera/enter+the+circus_20471052.html,"Ladies and gentlemen   Boys and girls   Step right up, step right up   Come closer, you won't believe your eyes   Behind this curtain   Witness something you've never seen before   Heard before, dreamt before   The most amazing show on earth      La la la la la la la   It's the most amazing show on earth   La la la la la la la      Do you want to be widely entertained   People to know your name?   Do you crave fame?   Well, they say things aren't always what they seem to be   Even your greatest fantasies   You won't believe your eyes   Won't even recognize   The wonderment that lies   Behind the shimmer and the lights      Is it true what they say?   Is it all just fun and games?   Or is there more behind the makeup   And the faces full of paint?      I ask you, do you want to come and play?   Ha ha ha ha   Get the world to come and play   Ha ha ha ha      So sit back, relax, fasten your seat belts   It's going to be a bumpy ride to the other side  "
29385,Def Leppard,Stay With Me,/d/def+leppard/stay+with+me_20509330.html,"[Originally by The Faces]      In the mornin' don't say you love me,   'Cause I'll only kick you out of the door   I know your name is Rita 'cause your perfume's smellin' sweeter   Since when I saw you down on the floor.      Won't need too much pursuadin'   I don't mean to sound degradin',   But with a face like that you got nothin' to laugh about.   Red lips, hair and fingernails,   I hear you're a mean old Jezebel   Lets go up stairs and read my Tarot cards      Stay with me, stay with me   For tonight you'd better stay with me   Stay with me, stay with me   For tonight you'd better stay with me      So, in the mornin', please don't say you love me   'Cause you know I'll only kick you out the door   Yeah, I'll pay your cab fare home, you can even use my best cologne,   Just don't be here in the mornin' when I wake up      Stay with me, stay with me   For tonight you'd gonna stay with me   Sit down, get up, get out.  "
29487,Demi Lovato,Who's That Boy,/d/demi+lovato/whos+that+boy_20981637.html,"I wanna get you by yourself   Yeah, have you to myself   I don't need nobody else   Don't want nobody else   He's special, I know   His smile, it glows   He's perfect, it shows, let's go      I've been starin' at ya   And I could do it all night   You're looking like an angel   With that kinda body needs a spotlight      Ain't no body know your name   But looking like you do could be famous   I could see us makin' waves   From the back of the club   To a bed in the shade      [Chorus]   Now I don't know who you are   But you look like a star   And everybody here be thinkin'   Who's that boy?   Wanna take you home   And get you all alone   And everybody here is thinkin'   Who's that boy?      Oh he got me   No, I've never seen,   No one like him   Damn he's everything   Girls they want him   Guys they want to be   Who's that boy, who's that boy      You could say that I'm distracted   But ah you got me so attracted   But boy I'll tell you what the fact is   Is no one else in this room   That could rock it like you, you do      Ain't no body know your name   But looking like you do could be famous   I could see us makin' waves   From the back of the club   To a bed in the shade      [Chorus]      Oh he got me   No, I've never seen,   No one like him   Damn he's everything   Girls they want him   Guys they want to be   Who's that boy, who's that boy      Everybody in the club turn around sayin'   Who's that, who's that   Beautiful boy with them big brown eyes, tell me   Who's that, who's that      I got my eyes on this boy   Can't get him off my mind   He's one of a kind   The cherry to my pie   I just wanna get him close      Wanna make him mine   Come hold my hand and dance away the night   Give me the green light, kiss my lips   Who's that boy watching my hips?   I- I- I wanna know who you are   My name is Dev and you can be my star      [Chorus]      Oh he got me   No, I've never seen,   No one like him   Damn he's everything   Girls they want him   Guys they want to be   Who's that boy, who's that boy  "
30070,Don McLean,Sitting On Top Of The World,/d/don+mclean/sitting+on+top+of+the+world_20826496.html,"Was all the summer, and all the fall,   Just trying to find my little all in all   But now she's gone, and I don't worry   Lord I'm sitting on top of the world      Was in the spring, one summer day   Just when she left me, she's gone to stay   But now she's gone, and I don't worry   Oh I'm sitting on top of the world      An' you come runnin', holdin' up your hand   Can't get me a woman, cranky you can get a man   But now you're gone, and now I don't worry   Lord I'm sitting on top of the world      Have been days, I didn't know your name   Why should I worry or cry in vain   But now she's gone, now I don't worry   Lord I'm sitting on top of the world      Went to the station, down in the yard   Gonna get me a freight train, worked and got to home   But now she's gone, and I don't worry   Oh I'm sitting on top of the world      The lonesome days, they have gone by   Why should you beg me oh say goodbye   But now she's gone, and I don't worry   Oh 'cause I'm sitting on top of the world  "
30489,Drake,One Dance (Remix),/d/drake/one+dance+remix_21108827.html,"[Intro: Kyla]   Baby I like your style      [Verse 1: Justin Bieber]   Lips on your neck   We're never too close now   Nothing like you and me   I don't know your name   But I'm sure that you know me   A little life with the music   The feeling is mutual   Loving the way you move on me   Skin so soft, hands on my face to be directed   And you're all that I can see   You give the baddest one in here a run for their money   And when this song comes on, you know      [Chorus: Justin Bieber]   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me      [Verse 2: Justin Bieber]   You know, I like that you're wild   So make your way over here right now   We only got a little while   Just thinkin' out loud   Celebrate life with me babe   Don't be in a rush to go now   Oh girl      [Chorus: Justin Bieber]   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me      [Outro: Justin Bieber]   Hold on me   Yeah, yeah, yeah   One more dance is all I need   One more dance is all I need   Oh, oh, oh  "
30534,Dream Theater,Forsaken,/d/dream+theater/forsaken_20586971.html,"For a while I thought I fell asleep   Lying motionless inside a dream      Then rising suddenly, I felt a chilling breath upon me   She softly whispered in my ear (forsaken)      [Chorus:]   Forsaken   I have come for you tonight   Awaken   Look in my eyes and take my hand   Give yourself up to me      I waited faithfully for night to fall again   Trying to silence the fear within me   Out of the night and mist I felt a stinging kiss   And saw a crimson sting on her lips      I have to know your name   Where have I seen your face before?   My dear, why don't you be afraid?      [Chorus]      Take me far away   Close your eyes and hold your breath   Till the ends of the earth      Forsaken   I have come for you tonight   Awaken   Look in my eyes and take my hand   Forsaken   Fly away with me tonight   Awaken   Renew my life   Now you are mine   Give yourself up to me  "
32155,Everclear,The Good Witch Of The North,/e/everclear/the+good+witch+of+the+north_10111078.html,"You pull me down   To the floor   Of our apartment      A little while later   We are laughing   At our carpet burns      I like the way   That it glows outside   As the room gets darker      How I wish we could   Stay like this   While the rest of the world turns      There has never been a time   When I didn't want to be your boyfriend   There has never been a time   When I didn't want to know your name      Free falling from a work in progress   Free falling from a life on hold   There has never been a time   When I didn't want you      [Chorus]   My good lover   Is my one good thing these days   You help me keep it all   From slipping away   I swear I'm gonna marry you someday   (Someday)      I am all alone   And it seems like   All I do is wait   Yes, we spend hours on the phone   But it's never the same      No, nothing good ever does easy   Nothing good ever comes without a fight      I am all alone   And I wish I was home   With you tonight      [Chorus]      Yeah, my girlfriend is like   Magic in the hand   When I lose my sparkle   She's the only one   That understands      I know I'm going to marry you someday [Repeat x2]   Yeah, I swear I'm going to marry you someday   Yeah yeah, I swear I'm going to marry you   Someday [Repeat x3]  "
32612,Fifth Harmony,Everlasting Love,/f/fifth+harmony/everlasting+love_21094405.html,"[Intro]   Eva, eva, eva (uh)   Oh, eva, eva, eva   (Fifth Harmony, baby)   Oh, eva, eva, eva   (Let's go)   Oh, everlasting love   (Another one)      [Verse 1: Lauren]   Always looking over my shoulder   Cause I don't ever wanna miss you   I been thinking about you daily   Can't wait to see your face   And I don't even know you   But I know that I can't wait to kiss you   Somehow I know when we finally lock eyes   That you'll feel the same way      [Pre-Chorus: Camila]   You're gonna be all I needed   You make me feel like a dream   Whoever you are   Baby, you are   The one I'm waiting for      [Chorus: Dinah]   You're my ever- everlasting love   My ever- everlasting love   And I'm never ever giving up   'Til you're laying next to me   I'm lookin' for that ever- everlasting love   Forever ever kind of touch   And I'll never ever get enough   Baby, we were meant to be      [Verse 2: Ally]   Ain't no use in wasting my time   On just anybody, baby   I want exceptional, original   Someone I can't deny   I'm in love with you already   I know it sounds crazy   But I hope you save all you got for me   Cause, baby, you're all mine      [Pre-Chorus]      [Chorus]      Everlasting love   Everlasting love   Everlasting love   My everlasting love      [Bridge: Normani]   I don't even know your name   But I can't get you off my brain   Darling, I can hardly wait   'Til I can get to know you   You'll be beautifully insane   Infinitely all for me   Promise you'll be glad you came   I can't wait to show you      [Chorus]      Everlasting love   Everlasting love   Everlasting love   My everlasting love  "
32640,Flo-Rida,Be On You,/f/flo+rida/be+on+you_20786499.html,"I said excuse me little mama if I may   Take this thought and send it your way   And if you don't like that then send it right back   But I just gotta say   I wanna be on you, on you   I wanna be on you, on you   And if you don't like that, then send it right back   But I just gotta say, I just gotta say   Sh-sh-shawty with no limits, that's what I need all the time   I'm w-w-with it, she with it, she not sure she put it down   Come g-g-get it, the business, I h-h-hit it, whose is it?   The Benz with the windows tinted, go on, lock it, dirty south   Shown in like them grown men, Goose, Patron, gin   L-let me go on in, sexy moanin', see-catch me jonesin'   N-no not never ever witnessed little mama off schedule   Got me achy, call me papi, hot as saki, fly as feathers   be-but robbed that, sh-shawty house staked, g-got that prowl cat   I wanna pop it like ecstasy, pretty face and all that   But what I look for, this gal is hood core, be-baddest outdoors   Deserve a encore, the definition of a show   I said excuse me little mama if I may   Take this thought and send it your way   And if you don't like that then send it right back   But I just gotta say   I wanna be on you, on you   I wanna be on you, on you   And if you don't like that then send it right back   But I just gotta say, I just gotta say   Hey, I'm feeling you girl, wanna get close to you, no doubt   My s-s-swagger should tell it more than anything can vouch   Little mama you are what's happening, ghetto fine, I'll make you proud   So stunt-alicious, I love it, let's at least work something out   Miss Thang, million dollar game, Coke bottle frame   Make my wall of fame, let me know your name, I control the rain   I can make it better, matter of fact I'll make it wetter   Stormy weather with this cheddar all because you hot as ever   If you may lady, let me play baby, make my way baby   You won't like it, send it back, I-it's okay baby   You's a keeper, such a diva, give me your fever   If I could freak ya, give me the word, I mean no harm   I said excuse me little mama if I may   Take this thought and send it your way   And if you don't like that then send it right back   But I just gotta say   I wanna be on you, on you   I wanna be on you, on you   And if you don't like that then send it right back   But I just gotta say, I just gotta say   Girl, let me touch you like nobody can   Girl, let me show you I'm a gentleman   I wanna be the one to hold your hand   I just wanna be, I just wanna be   Girl, let me touch you like nobody can   I wanna show you I'm a gentleman   Girl, let me be the one to hold your hand   I just wanna be, I just wanna be   I said excuse me little mama if I may   Take this thought and send it your way   And if you don't like that then send it right back   But I just gotta say   I wanna be on you, I wanna be on you   And if you don't like that then send it right back   But I just gotta say, I just gotta say   I said excuse me little mama if I may   Take this thought and send it your way   And if you don't like that then send it right back   But I just gotta say   I wanna be on you, I wanna be on you   And if you don't like that then send it right back   But I just gotta say, I just gotta say   Be on you, why-why-you    "
34124,Glen Campbell,I Don't Want To Know Your Name,/g/glen+campbell/i+dont+want+to+know+your+name_20849877.html,I see you just like the movies   I see your face   Across a crowded room   And I have learned through   Simple trial and error   Not to speak too soon      Your eyes just like a magnet   They're drawing my eyes around   And I can't hear one   Word of conversation   I can't hear a sound      I see you looking at me   You see me looking at you      [Chorus:]   I don't wanna know your name   And I don't wanna play this game   Where two lovers meet   And one lover parts in pain      I feel this urge to meet you   I feel this urge to run   Repairing hearts so easily shattered   Is never any fun      I see you looking at me   You see me looking at you      [Chorus:]      I don't wanna know your name   I don't wanna play this game   I don't wanna know your name   I don't wanna play this game  
34655,Green Day,Amy,/g/green+day/amy_20980817.html,"Is your heart singing out of tune   Are your eyes just singing the blues   Dirty records from another time   Some blood stains on your shoes      No one really knows about your soul   And I barely really know your name   Burning rhythms and posting lies   And a bunch of fools drown in shame      Amy don't you go   I want you around   Singin' woah, please don't go   Do you wanna be a friend of mine?   Do you wanna be a friend of mine?      Did you tattoo a lucky charm   To keep you out of harms way?   Warding off all evil signs   But it never really kept you safe      Now you're too young for the golden age   'Cause the record bin's been replaced   Twenty seven, gone without a trace   And you walked away from your drink      Amy don't you go   I want you around   Singin' woah, please don't go   Do you wanna be a friend of mine?   Do you wanna be a friend of mine?      Amy please don't go   Amy please don't go      Is your heart singing out of tune   Are you eyes just singing the blues?   Dirty records from another time   Some blood stains on your shoes      May I have this last dance   By chance if we should meet?   Can you write me a lullaby?   So we can sing you to sleep      Amy don't you go   I want you around   Singin' woah, please don't go   Do you wanna be a friend of mine?   Do you wanna be a friend of mine?   Do you wanna be a friend of mine?  "
35678,Heart,White Lightning And Wine,/h/heart/white+lightning+and+wine_20627669.html,"This night's gone, we're moving on   Highway's calling aloud   I bring them in with eyes of sin   It's a down drinkin' freaky crowd   Chew you up and spit you out   Never want to know your name   Don't want to know you but I sure want to show you   Never will forget I came   On the world's all mine   White lightning and wine came on so fast   When did I last feel this fine?   White lightning and wine   Sweet little one let me love you some   Take me or leave me alone   The gooder they come, the harder they fall   Turn around you are a nasty joke   Yeah, we all laugh oh, hah, what a gas!   Watching you chew on the bones   In the morning light you didn't look so nice   Guess you'd better hitch hike home  "
35898,Hillsong,Salvation Is Here,/h/hillsong/salvation+is+here_20769118.html,God above all the world in motion   God above all my hopes and fears   And I don't care what the world throws at me now   I'm gonna be alright      Hear the sounds of the generations   Making loud our freedom song   All in all that the world would know Your name   It's gonna be alright      Cause I know my God saved the day   And I know His word never fails   And I know my God made a way for me   Salvation is here      Salvation is here   Salvation is here and He lives in me   Salvation is here   Salvation that died just to set me free   Salvation is here   Salvation is here and He lives in me   Salvation is here   Cause You are alive and You live in me  
36817,Indigo Girls,I Don't Know Your Name,/i/indigo+girls/i+dont+know+your+name_20067410.html,"Emily:   I walked into my favorite place one night   Id just gotten back from a lecture   And I was feeling kind of uptight   And at the edge of the bar there was this guy   And you know I wasnt really looking   But I caught him out of the corner of my eye   The next thing I know he was moving my way   I thought he wanted to talk   But this is what he had to say      Amy:   I don't know your name babe   But I want to be your lover   Yall sing it with me   I don't know your name babe   But I want to be your lover   Your lover your lover your lover   One time or another baby   I want to be your lover      Emily:   I have to admit I was a little bit surprised   But I wasnt really scared cause I was twice his size   So I said to myself, okay, Ill play his game   And when he turned to me   I gave him my name      Amy:   I know your name babe   But I got to know your number   I know your name babe   But I got to know your number your number   I said one time or another baby   I'm gonna be your lover   Yeah I wanna be your lover      Emily:   Well I said to myself this guy is persistent   Hes a little bit dumb but at least hes consistent   I tried to talk cool but when we touched I went under   I made a quick decision and I gave him my number      Amy:   I know your number   But I don't know what to say babe      Emily:   That's ok      Amy:   I know your number   Your number babe   But I don't know what to say to you   Say to you say to you say to you darling   Oh it don't matter anyway no   I don't talk when I'm make love to you babe   I don't talk when I make love   I wanna be you lover   I wanna be you lover   Lover lover   Lover lover   Lover lover      Emily:   Well you probably wont believe this   But we got married one day   And I still don't know if he speaks english   Cause he doesn't have much to say   Its a damn good thing I like lying around   We don't make much conversation   But love makes sounds   You know what I'm talking about   Yall know what I'm talking about   Well one thing I've learned from being in this state      Emily and amy:   There are other ways to communicate      Amy:   I don't know your name babe   But I want to be your lover   Don't know your name babe   But I want to be your lover   Your lover your lover your lover   One time or another baby   I'm gonna be your lover  "
36904,Ingrid Michaelson,Starting Now,/i/ingrid+michaelson/starting+now_20543927.html,"I want to crawl back inside my mother's womb   I want to shut out all the lights in this room   I want to start fresh, like a baby in a sink   Scrub away all these thoughts that I think of you      So life moves slowly when you're waiting for it to boil,   Feel like I watch from six feet under the soil   Still, want to hold you and kiss behind your ears,   But I recount the countless tears that I lost for you      But before you finally go there's one thing you should know, that I promise...      [Chorus]   Starting now, I'll never know your name   Starting now, I'll never feel the same   Starting now, I wish you never came into my world      I want to crawl back inside my bed of sin   I want to burn the sheets that smell like your skin   Instead I'll wash them just like kitchen rags with stains   Spinning away every piece that remains of you      But before you finally go there's one thing you should know, that I promise...      [Chorus]   Starting now, I'll never know your name   Starting now, I'll never feel the same   Starting now, I wish you never came into my world      It's my world, it's not ours anymore   It's my world, it's not ours anymore      [Chorus]   Starting now, I'll never know your name   Starting now, I'll never feel the same   Starting now, I wish you never came into my world  "
37042,INXS,Deliver Me,/i/inxs/deliver+me_20067887.html,"Deep down is a mystery   All I want to know is why   Your ways are taking over   All the apple in my eye      I'm in a crowded room   Can't hear a single word they say   They're just a darkened face   I don't believe I know your name      I smell ya - on my fingertips   I hear ya - whispering   I feel ya - all over me   I'm never gonna be the same      Watcha trying to do to me   Is tell me the rules of the game (hey)   Deliver me, from your spell   Gimme more, gimme more, gimme more of the same, yeah      Deliver me   Deliver me   Deliver me   Deliver me      See watcha trying to do to me   Is tell me the rules of the game   Cause I'm just out of my skin   When the phones and questions remain      Deliver me, from your spell   I give 'em, give 'em all of the same, yeah   Deliver me, from your spell   Gimme more, gimme more, gimme more of the same, yeah      Deliver me, frm your spell   I give 'em, give 'em all of the same, yeah   Deliver me, from your spell   Gimme more, gimme more, gimme more of the same, yeah      Deliver me   Deliver me   Deliver me   Gimme more, gimme more, gimme more of the same, yeah      Gimme, gimme, gimme, gimme   Gimme, gimme, gimme, gimme   Gimme, gimme, gimme, gimme   Gimme, gimme, gimme more of the same, yeah      Gimme, gimme, gimme, gimme   Gimme, gimme, gimme, gimme   Gimme, gimme, gimme, gimme   Gimme, gimme, gimme more of the same, yeah      Ow, hey      Deliver me (give 'em all the same)   Deliver me (give 'em all the same)   Deliver me (give 'em all the same, hey)   Deliver me   Deliver me  "
37499,Janis Joplin,Intruder,/j/janis+joplin/intruder_20069698.html,"You come around here   Trying to make your demand.   You've got a need, darling,   I've seen it grow and expand.   Yeah, you want to reveal my life   With your own two hands.   Well, tell me now   What are you trying to do ?   Those holes in your life   Show what you require.   You're needin' new eyes,   Oh Lord, honey take any wire ?   Yeah you've gotta save us all   Before the next big fire.   Tell me now   What are you trying to do ?   Walked in my life,   Child, and I don't even know your name.   You put others around behind ya   As if they were lame.   You insist a simple feeling   Will be all the same.   Well, tell me now   What are you trying to do ?   Now I look like I'm suffering,   N-n-n-n-n-n-now I'm doing fine.   One look at yourself baby,   Child, I got you alive.   Yeah, you're gonna take care of yours,   I'll take care of mine.   What are you trying to do ?   Hey!  "
